Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),Diagram Type,Diagram Params
495,110b,110,3,No,Find the largest angle.,122°,33°,99°,"10x+30=360, so x=33. Largest is 4x-10 = 122°.","Solve for x first, then check which expression gives the biggest value.",,,,,,angle_sectors,total=360;sectors=66:2x|99:3x|73:x+40|122:4x-10
500,110b,110,2,No,Find x.,110°,195°,250°,360 - 40 - 55 - 70 - 85 = 110°.,Angles around a point add up to 360° — subtract every given angle.,,,,,,angle_sectors,total=360;sectors=40:40°|55:55°|70:70°|85:85°|110:x
501,110c,110,2,No,Find x.,35°,125°,50°,90 - 15 - 40 = 35°.,A right angle is 90° — its parts must add up to 90°.,,,,,,angle_sectors,total=90;sectors=15:15°|40:40°|35:x
502,110c,110,2,No,Find the larger angle.,54°,36°,45°,2+3=5 parts. 90÷5=18° per part. Larger = 3×18 = 54°.,Split 90° into the total number of ratio parts first.,,,,,,angle_sectors,total=90;sectors=36:2|54:3
503,110c,110,1,No,Find the size of each angle.,22.5°,30°,45°,90 ÷ 4 = 22.5°.,Divide 90° by how many equal parts there are.,,,,,,angle_sectors,total=90;sectors=22.5:x|22.5:x|22.5:x|22.5:x
504,110c,110,1,No,Find x.,62°,28°,152°,90 - 28 = 62°.,A right angle is 90° — its parts must add up to 90°.,,,,,,angle_sectors,total=90;sectors=28:28°|62:x
505,110c,110,3,No,A right angle split in the ratio 1:2:3. Find the largest angle.,45°,15°,30°,1+2+3=6 parts. 90÷6=15° per part. Largest = 3×15 = 45°.,Split 90° into the total number of ratio parts first.,,,,,,angle_sectors,total=90;sectors=15:1|30:2|45:3
506,110c,110,3,No,"Find x, where y = 3x + 6.",21°,69°,22.5°,"x+(3x+6)=90, so 4x=84, x=21.",Substitute the relationship into the right-angle equation first.,,,,,,angle_sectors,total=90;sectors=21:x|69:y
731,110c,110,3,No,Find the 2x angle.,40°,20°,30°,"4x+10=90, so 4x=80, x=20. 2x = 40°.","Solve for x first, then substitute it back into the angle you actually need.",,,,,,angle_sectors,total=90;sectors=40:2x|30:x+10|20:x
732,131b,131,1,No,What fraction is shaded?,'1/10,'1/5,'1/9,"1 out of 10 equal sectors is shaded, so 1/10.",Divide 1 by the number of equal sectors.,,,,,,pie_chart,sectors=36:|36:|36:|36:|36:|36:|36:|36:|36:|36:;fill=0
735,131b,131,1,No,What fraction is shaded?,'1/4,'1/2,'1/3,"1 out of 4 equal sectors is shaded, so 1/4.",Divide 1 by the number of equal sectors.,,,,,,pie_chart,sectors=90:|90:|90:|90:;fill=0
736,131c,131,2,No,Find the number of people represented by the shaded sectors.,10,5,20,One sector: 45÷9=5. Two sectors: 5×2=10.,"Find the amount for one sector first, then multiply by the number of sectors needed.",,,,,,pie_chart,"total=45;center=Total: 45;sectors=40:|40:|40:|40:|40:|40:|40:|40:|40:;fill=0,1"
740,131c,131,1,No,Find the number of people represented by the shaded sector.,4,6,3,24÷6=4 people per sector.,Divide the total by the number of equal sectors.,,,,,,pie_chart,total=24;center=Total: 24;sectors=60:|60:|60:|60:|60:|60:;fill=0
741,131g,131,3,No,Find the angle of the shaded sector.,60°,54°,40°,15/90 of the full circle: (15÷90)×360=60°.,"Find the fraction of the total first, then multiply by 360°.",,,,,,pie_chart,total=90;center=Total: 90;sectors=60:15 people|300:;fill=0
742,131g,131,2,No,Find the angle of one sector.,72°,60°,90°,360÷5=72°.,Divide 360° by the number of equal sectors.,,,,,,pie_chart,sectors=72:|72:|72:|72:|72:;fill=0
745,131g,131,2,No,Find the angle of one sector.,45°,40°,36°,360÷8=45°.,Divide 360° by the number of equal sectors.,,,,,,pie_chart,sectors=45:|45:|45:|45:|45:|45:|45:|45:;fill=0
746,131h,131,1,No,What percentage does the shaded sector represent?,25%,90%,45%,90÷360×100=25%.,"Divide the angle by 360, then multiply by 100.",,,,,,pie_chart,sectors=90:90°|270:;fill=0
750,131h,131,2,No,What percentage does the shaded sector represent?,20%,72%,18%,72÷360×100=20%.,"Divide the angle by 360, then multiply by 100.",,,,,,pie_chart,sectors=72:72°|288:;fill=0
751,131i,131,2,No,Find the number of respondents represented by the shaded sector.,26,25,40,40% of 65: 0.4×65=26.,Multiply the total by the decimal equivalent of the percentage.,,,,,,pie_chart,total=65;center=Total: 65;sectors=144:40%|216:;fill=0
824,131i,131,1,No,Find the number of students represented by the shaded sector.,8,25,7,25% of 32: 32÷4=8.,Find 25% by dividing by 4.,,,,,,pie_chart,total=32;center=Total: 32;sectors=90:25%|270:;fill=0
825,138,138,2,No,Find an expression for the total area.,5x+15,5x+3,8x,Area = 5×(x+3) = 5x+15.,"Multiply the height by each part of the base separately, then add.",,,,,,rectilinear_perimeter,kind=joined;seg1=x;seg2=3cm;height=5cm
826,138,138,2,No,Find an expression for the total area.,4x+24,4x+6,10x,Area = 4×(x+6) = 4x+24.,"Multiply the height by each part of the base separately, then add.",,,,,,rectilinear_perimeter,kind=joined;seg1=x;seg2=6cm;height=4cm
827,138,138,3,No,Find an expression for the total area.,7x+14,7x+2,9x,Area = 7×(x+2) = 7x+14.,"Multiply the height by each part of the base separately, then add.",,,,,,rectilinear_perimeter,kind=joined;seg1=x;seg2=2cm;height=7cm
828,138,138,2,No,Find the width of the second rectangle.,4cm,3cm,36cm,"Area = height × width: 12 = 3 × width, so width = 4cm.",Divide the area by the known height.,,,,,,rectilinear_perimeter,kind=joinedAreas;height=3cm;area1=3x;area2=12cm²
829,138,138,3,No,Find the width of the second rectangle.,3cm,6cm,108cm,"Area = height × width: 18 = 6 × width, so width = 3cm.",Divide the area by the known height.,,,,,,rectilinear_perimeter,kind=joinedAreas;height=6cm;area1=6x;area2=18cm²
830,138,138,3,Yes,Perimeter = 38cm. Find x.,4cm,3.8cm,9.5cm,"2×(x+9+6)=38, so 2x=8, giving x=4cm.","Substitute into the perimeter formula, then solve for x.",,,,,,rectilinear_perimeter,kind=joined;seg1=x;seg2=9cm;height=6cm
833,138,138,3,Yes,The total area is 56cm². Find x.,5cm,8cm,53cm,"7×(x+3)=56, so 7x=35, giving x=5cm.","Expand the bracket, then solve the resulting equation.",,,,,,rectilinear_perimeter,kind=joined;seg1=x;seg2=3cm;height=7cm
834,138a,138,1,No,Find the area.,36cm²,30cm²,15cm²,Area = length × width = 12×3=36cm².,Multiply the length by the width.,,,,,,rect_area,shape=rectangle;length=12cm;width=3cm
837,138a,138,1,No,Find the area.,40cm²,26cm²,13cm²,Area = length × width = 8×5=40cm².,Multiply the length by the width.,,,,,,rect_area,shape=rectangle;length=8cm;width=5cm
838,138b,138,1,No,Find the area.,36cm²,24cm²,12cm²,Area = side × side = 6×6=36cm².,Multiply the side length by itself.,,,,,,rect_area,shape=square;side=6cm
841,138b,138,1,No,Find the area.,81cm²,36cm²,18cm²,Area = side × side = 9×9=81cm².,Multiply the side length by itself.,,,,,,rect_area,shape=square;side=9cm
842,138c,138,1,No,Find the length.,7cm,36cm,48cm,Length = area ÷ width = 42÷6=7cm.,Divide the area by the known side.,,,,,,rect_area,shape=rectangle;length=x;width=6cm;caption=Area = 42cm²
845,138c,138,2,No,Find the width.,12cm,88cm,104cm,Width = area ÷ length = 96÷8=12cm.,Divide the area by the known side.,,,,,,rect_area,shape=rectangle;length=8cm;width=x;caption=Area = 96cm²
846,138d,138,2,No,Find the side length.,10cm,50cm,20cm,The side length is the square root of the area: √100=10cm.,Find the square root of the area.,,,,,,rect_area,shape=square;side=x;caption=Area = 100cm²
849,138d,138,2,No,Find the side length.,7cm,24.5cm,14cm,√49=7cm.,Find the square root of the area.,,,,,,rect_area,shape=square;side=x;caption=Area = 49cm²
850,138e,138,3,No,Find the perimeter.,38cm,42cm,19cm,Width=84÷12=7cm. Perimeter=2×(12+7)=38cm.,"Find the missing side first using the area, then calculate the perimeter.",,,,,,rect_area,shape=rectangle;length=12cm;width=x;caption=Area = 84cm²
852,138e,138,2,No,Find the perimeter.,22cm,35cm,11cm,Length=30÷5=6cm. Perimeter=2×(6+5)=22cm.,"Find the missing side first using the area, then calculate the perimeter.",,,,,,rect_area,shape=rectangle;length=x;width=5cm;caption=Area = 30cm²
856,138f,138,2,No,Find the perimeter.,32cm,16cm,24cm,Side length=√64=8cm. Perimeter=4×8=32cm.,"Find the side length first using the area, then calculate the perimeter.",,,,,,rect_area,shape=square;side=x;caption=Area = 64cm²
857,138h,138,3,No,Find the area.,70cm²,34cm²,140cm²,"Half the perimeter=17cm, so length=17-7=10cm. Area=10×7=70cm².","Find the missing side from the perimeter first, then calculate the area.",,,,,,rect_area,shape=rectangle;length=x;width=7cm;caption=Perimeter = 34cm
859,138h,138,3,No,Find the area.,49cm²,28cm²,56cm²,Side length=28÷4=7cm. Area=7×7=49cm².,"Find the side length from the perimeter first, then calculate the area.",,,,,,rect_area,shape=square;side=x;caption=Perimeter = 28cm
865,138i,138,3,No,Carpet costs £8 per m². Find the cost of carpeting the room.,£96,£56,£84,Area=4×3=12m². Cost=12×£8=£96.,"Find the area first, then multiply by the cost per m².",,,,,,rect_area,shape=rectangle;length=4m;width=3m
866,139a,139,1,No,Find the area.,50cm²,30cm²,15cm²,Area = base × height = 10×5=50cm².,Multiply the base by the perpendicular height.,,,,,,parallelogram_area,shape=parallelogram;base=10cm;height=5cm
867,139a,139,3,No,Find the area.,72cm²,36cm²,18cm²,Area = base × height = 12×6=72cm².,Multiply the base by the perpendicular height.,,,,,,parallelogram_area,shape=parallelogram;base=12cm;height=6cm
868,139a,139,3,No,Find the area.,120cm²,60cm²,23cm²,Area = base × height = 15×8=120cm².,Multiply the base by the perpendicular height.,,,,,,parallelogram_area,shape=parallelogram;base=15cm;height=8cm
869,139a,139,1,No,Find the area.,24cm²,20cm²,10cm²,Area = base × height = 6×4=24cm².,Multiply the base by the perpendicular height.,,,,,,parallelogram_area,shape=parallelogram;base=6cm;height=4cm
875,139a,139,2,No,Find the area.,63cm²,32cm²,16cm²,Area = base × height = 7×9=63cm².,Multiply the base by the perpendicular height.,,,,,,parallelogram_area,shape=parallelogram;base=7cm;height=9cm
876,139c,139,3,No,Find the base.,17cm,128cm,144cm,Base = area ÷ height = 136÷8=17cm.,Divide the area by the height.,,,,,,parallelogram_area,shape=parallelogram;base=x;height=8cm;caption=Area = 136cm²
877,139c,139,1,No,Find the base.,5cm,32cm,48cm,Base = area ÷ height = 40÷8=5cm.,Divide the area by the height.,,,,,,parallelogram_area,shape=parallelogram;base=x;height=8cm;caption=Area = 40cm²
878,139c,139,2,No,Find the base.,9cm,64cm,80cm,Base = area ÷ height = 72÷8=9cm.,Divide the area by the height.,,,,,,parallelogram_area,shape=parallelogram;base=x;height=8cm;caption=Area = 72cm²
879,139c,139,3,No,Find the height.,8cm,84cm,108cm,Height = area ÷ base = 96÷12=8cm.,Divide the area by the base.,,,,,,parallelogram_area,shape=parallelogram;base=12cm;height=x;caption=Area = 96cm²
885,139c,139,2,No,Find the height.,6cm,45cm,63cm,Height = area ÷ base = 54÷9=6cm.,Divide the area by the base.,,,,,,parallelogram_area,shape=parallelogram;base=9cm;height=x;caption=Area = 54cm²
886,139d,139,2,No,Find the area.,70cm²,140cm²,36cm²,Area = base × height = 14×5=70cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,parallelogram_area,shape=parallelogram;base=14cm;height=5cm
887,139d,139,3,No,Find the area.,126cm²,234cm²,57cm²,Area = base × height = 18×7=126cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,parallelogram_area,shape=parallelogram;base=18cm;height=7cm
888,139d,139,2,No,Find the area.,66cm²,99cm²,34cm²,Area = base × height = 11×6=66cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,parallelogram_area,shape=parallelogram;base=11cm;height=6cm
889,139d,139,1,No,Find the area.,40cm²,56cm²,20cm²,Area = base × height = 8×5=40cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,parallelogram_area,shape=parallelogram;base=8cm;height=5cm
895,139d,139,1,No,Find the area.,36cm²,54cm²,19cm²,Area = base × height = 9×4=36cm². The slanted side length isn't needed.,Only the base and perpendicular height are needed — ignore the slanted side.,,,,,,parallelogram_area,shape=parallelogram;base=9cm;height=4cm
896,140a,140,1,No,Find the area.,20cm²,40cm²,14cm²,Area = 0.5 × base × height = 0.5×10×4=20cm².,"Multiply the base by the height, then halve it.",,,,,,triangle_area,shape=triangle;base=10cm;height=4cm
897,140a,140,2,No,Find the area.,54cm²,108cm²,21cm²,Area = 0.5×12×9=54cm².,"Multiply the base by the height, then halve it.",,,,,,triangle_area,shape=triangle;base=12cm;height=9cm
898,140a,140,3,No,Find the area.,35cm²,70cm²,19cm²,Area = 0.5×14×5=35cm².,"Multiply the base by the height, then halve it.",,,,,,triangle_area,shape=triangle;base=14cm;height=5cm
899,140a,140,3,No,Find the area.,56cm²,112cm²,23cm²,Area = 0.5×16×7=56cm².,"Multiply the base by the height, then halve it.",,,,,,triangle_area,shape=triangle;base=16cm;height=7cm
905,140a,140,1,No,Find the area.,24cm²,48cm²,14cm²,Area = 0.5×8×6=24cm².,"Multiply the base by the height, then halve it.",,,,,,triangle_area,shape=triangle;base=8cm;height=6cm
906,140b,140,3,No,Find the base.,18cm,9cm,900cm,Base = (2 × area) ÷ height = (2×90)÷10=18cm.,"Double the area first, then divide by the height.",,,,,,triangle_area,shape=triangle;base=x;height=10cm;caption=Area = 90cm²
907,140b,140,1,No,Find the base.,10cm,5cm,180cm,Base = (2×30)÷6=10cm.,"Double the area first, then divide by the height.",,,,,,triangle_area,shape=triangle;base=x;height=6cm;caption=Area = 30cm²
908,140b,140,2,No,Find the base.,12cm,6cm,294cm,Base = (2×42)÷7=12cm.,"Double the area first, then divide by the height.",,,,,,triangle_area,shape=triangle;base=x;height=7cm;caption=Area = 42cm²
909,140b,140,2,No,Find the height.,12cm,6cm,384cm,Height = (2×48)÷8=12cm.,"Double the area first, then divide by the base.",,,,,,triangle_area,shape=triangle;base=8cm;height=x;caption=Area = 48cm²
915,140b,140,3,No,Find the height.,14cm,7cm,567cm,Height = (2×63)÷9=14cm.,"Double the area first, then divide by the base.",,,,,,triangle_area,shape=triangle;base=9cm;height=x;caption=Area = 63cm²
916,140c,140,1,No,Find the area.,30cm²,60cm²,36cm²,Area = 0.5×10×6=30cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,triangle_area,shape=triangle;base=10cm;height=6cm;thirdSide=12cm
917,140c,140,1,No,Find the area.,35cm²,70cm²,19cm²,Area = 0.5×14×5=35cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,triangle_area,shape=triangle;base=14cm;height=5cm;thirdSide=15cm
918,140c,140,2,No,Find the area.,48cm²,96cm²,38cm²,Area = 0.5×16×6=48cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,triangle_area,shape=triangle;base=16cm;height=6cm;thirdSide=17cm
919,140c,140,3,No,Find the area.,90cm²,180cm²,71cm²,Area = 0.5×20×9=90cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,triangle_area,shape=triangle;base=20cm;height=9cm;thirdSide=22cm
1009,140c,140,2,No,Find the area.,36cm²,72cm²,29cm²,Area = 0.5×9×8=36cm². The third side isn't needed.,Only the base and perpendicular height are needed — ignore the third side.,,,,,,triangle_area,shape=triangle;base=9cm;height=8cm;thirdSide=12cm
1010,149a,149,2,No,Find x.,20,9,180,"The angles sum to 180°: 2x+3x+4x=9x=180, so x=20.","Add up all the parts in terms of x, then solve.",,,,,,polygon_angles,shape=triangle;angles=40:2x|60:3x|80:4x
1011,149a,149,1,No,Find the third angle.,65°,115°,45°,Angles in a triangle sum to 180°: 180-50-65=65°.,Angles in a triangle always add up to 180°.,,,,,,polygon_angles,shape=triangle;angles=50:50°|65:65°|65:x
1014,149a,149,1,No,Find the third angle.,55°,125°,45°,Angles in a triangle sum to 180°: 180-90-35=55°.,Angles in a triangle always add up to 180°.,,,,,,polygon_angles,shape=triangle;angles=90:90°|35:35°|55:x
1017,149b,149,2,No,Find x.,20,60,3,"Each angle in an equilateral triangle is 60°: 3x=60, so x=20.",Each angle in an equilateral triangle is 60°.,,,,,,polygon_angles,shape=triangle;angles=60:3x|60:60°|60:60°
1018,149c,149,1,No,Find the exterior angle marked x.,120°,60°,110°,The exterior angle equals the sum of the two non-adjacent interior angles: 50+70=120°.,The exterior angle equals the sum of the two angles not next to it.,,,,,,polygon_angles,shape=triangle;angles=50:50°|70:70°|60:;extend=2:next;exterior=2:120:x
1021,149c,149,2,No,Find the exterior angle marked x.,135°,45°,85°,The exterior angle equals the sum of the two non-adjacent interior angles: 40+95=135°.,The exterior angle equals the sum of the two angles not next to it.,,,,,,polygon_angles,shape=triangle;angles=40:40°|95:95°|45:;extend=2:next;exterior=2:135:x
1022,149d,149,1,No,Find the angle marked x.,72°,108°,36°,"The angle between the extended sides is vertically opposite the interior angle, so it is also 72°.",Vertically opposite angles are equal.,,,,,,polygon_angles,shape=triangle;angles=72:72°|54:|54:;extend=0:both;exterior=0:72:x
1026,149d,149,2,No,Find x.,17,51,153,"The angle between the extended sides is vertically opposite the interior angle: 3x=51, so x=17.",Vertically opposite angles are equal.,,,,,,polygon_angles,shape=triangle;angles=51:3x|64.5:|64.5:;extend=0:both;exterior=0:51:51°
1041,149e,149,2,No,Find y.,40°,140°,50°,"The third triangle angle is 180-45-95=40°. Since y is vertically opposite it, y=40°.","Find the missing triangle angle first, then apply the vertically opposite angle rule.",,,,,,polygon_angles,shape=triangle;angles=45:45°|95:95°|40:;extend=2:both;exterior=2:40:y
1042,151a,151,3,No,Find x.,30,40,270,"2x+3x+4x+90=360, so 9x=270, giving x=30.","Add up all the parts in terms of x plus the known angle, then solve.",,,,,,polygon_angles,shape=quadrilateral;angles=60:2x|90:3x|120:4x|90:90°
1043,151a,151,2,No,Find x.,50°,310°,70°,Angles in a quadrilateral sum to 360°: 360-60-120-130=50°.,Angles in a quadrilateral always add up to 360°.,,,,,,polygon_angles,shape=quadrilateral;angles=60:60°|120:120°|130:130°|50:x
1044,151a,151,1,No,Find x.,85°,275°,95°,Angles in a quadrilateral sum to 360°: 360-80-95-100=85°.,Angles in a quadrilateral always add up to 360°.,,,,,,polygon_angles,shape=quadrilateral;angles=80:80°|95:95°|100:100°|85:x
1047,151a,151,1,No,Find x.,95°,265°,85°,Angles in a quadrilateral sum to 360°: 360-70-110-85=95°.,Angles in a quadrilateral always add up to 360°.,,,,,,polygon_angles,shape=quadrilateral;angles=70:70°|110:110°|85:85°|95:x
1048,151b,151,2,No,Find the exterior angle marked x.,100°,80°,260°,x=360-75-95-110=80°. Exterior angle=180-80=100°.,"Find the missing interior angle first, then subtract it from 180°.",,,,,,polygon_angles,shape=quadrilateral;angles=75:75°|95:95°|110:110°|80:;extend=3:next;exterior=3:100:x
1052,151b,151,1,No,Find x.,85°,275°,95°,Angles in a quadrilateral sum to 360°: 360-90-100-85=85°.,Angles in a quadrilateral always add up to 360°.,,,,,,polygon_angles,shape=quadrilateral;angles=90:90°|100:100°|85:85°|85:x
1053,151c,151,3,No,Find x.,65,130,260,"2x+80+150=360, so 2x=130, giving x=65.","Add the two known angles, subtract from 360°, then halve what's left.",,,,,,polygon_angles,shape=quadrilateral;angles=65:x|65:x|80:80°|150:150°
1054,151c,151,1,No,Find x.,65°,165°,80°,Angles in a quadrilateral sum to 360°: 360-100-100-95=65°.,Subtract all the known angles from 360°.,,,,,,polygon_angles,shape=quadrilateral;angles=100:100°|100:100°|95:95°|65:x
1059,151c,151,2,No,Find x.,70°,170°,55°,Angles in a quadrilateral sum to 360°: 360-115-115-60=70°.,Subtract all the known angles from 360°.,,,,,,polygon_angles,shape=quadrilateral;angles=115:115°|115:115°|60:60°|70:x
1060,151d,151,3,No,"Find the largest angle, where the 3 missing angles are in the ratio 2:3:4.",120°,60°,90°,The remaining angles sum to 270°. Split into 2+3+4=9 parts: 270÷9=30° per part. Largest=4x30=120°.,"Subtract the known angle from 360°, then split the rest according to the ratio.",,,,,,polygon_angles,shape=quadrilateral;angles=90:90°|60:2|90:3|120:4
1061,151d,151,1,No,Find x.,90°,180°,60°,"70+110+2x=360, so 2x=180, giving x=90°.","Add the two known angles, subtract from 360°, then halve what's left.",,,,,,polygon_angles,shape=quadrilateral;angles=70:70°|110:110°|90:x|90:x
1062,151d,151,2,No,Find y.,105°,210°,75°,"60+90+2y=360, so 2y=210, giving y=105°.","Add the two known angles, subtract from 360°, then halve what's left.",,,,,,polygon_angles,shape=quadrilateral;angles=60:60°|90:90°|105:y|105:y
1387,151d,151,2,No,Find x.,90°,270°,30°,"3x+90=360, so 3x=270, giving x=90°.","Subtract the known angle from 360°, then divide by 3.",,,,,,polygon_angles,shape=quadrilateral;angles=90:x|90:x|90:x|90:90°
1388,180,180,2,No,Find an expression for the perimeter.,2x+24,x+24,2x+12,Perimeter = 2×(x+7+5) = 2×(x+12) = 2x+24.,"Add all four sides, then double the total.",,,,,,rectilinear_perimeter,kind=joined;seg1=x;seg2=7cm;height=5cm
1392,180,180,3,No,"Find an expression for the perimeter, in its simplest factorised form.",2(x+12),2x+24,x+24,"Perimeter = 2x+24, which factorises to 2(x+12).","Expand the perimeter first, then take out the common factor of 2.",,,,,,rectilinear_perimeter,kind=joined;seg1=x;seg2=7cm;height=5cm
1393,180a,180,1,No,Find the perimeter.,34m,20m,48m,Removing a rectangular notch from a corner doesn't change the perimeter - it's the same as the original rectangle's: 2×(10+7)=34m.,A rectangular notch cut from a corner doesn't change the total perimeter of the original rectangle.,,,,,,rectilinear_perimeter,kind=notch;width=10m;height=7m;notchW=4m;notchH=3m
1394,180a,180,3,No,Find the perimeter.,42m,21m,33m,"The horizontal and vertical step edges add up to the overall width and height, so the perimeter is the same as the bounding rectangle: 2×(12+9)=42m.","The horizontal and vertical step edges add up to the overall width and height, so the perimeter matches the bounding rectangle's perimeter.",,,,,,rectilinear_perimeter,kind=staircase;width=12m;height=9m;steps=3
1398,180b,180,1,No,Find the perimeter of the combined shape.,32cm,40cm,20cm,The combined shape is a rectangle 12cm by 4cm. Perimeter = 2×(12+4)=32cm.,"Work out the dimensions of the new, larger rectangle first, then find its perimeter.",,,,,,rectilinear_perimeter,kind=joined;seg1=6cm;seg2=6cm;height=4cm
1399,180b,180,2,No,Find the perimeter of this cross made from 5 squares.,36cm,60cm,24cm,Each of the 4 outer squares has 3 sides exposed: 4×3=12 exposed sides of length 3cm: 12×3=36cm.,Work out how many of each square's sides are actually on the outside of the whole shape — shared edges don't count.,,,,,,rectilinear_perimeter,kind=cross;squareSide=3cm
1400,180b,180,3,No,Find the perimeter.,32cm,40cm,16cm,The step edges add up to exactly the bounding box: 2×(8+8)=32cm.,The horizontal and vertical step edges add up to the overall width and height of the bounding rectangle.,,,,,,rectilinear_perimeter,kind=staircase;width=8cm;height=8cm;steps=4
1422,183a,183,1,No,Find the area.,40 cm²,20 cm²,80 cm²,Area of one right-angled triangle: 0.5×8×5=20cm². The kite is two identical triangles: 2×20=40cm².,"Find the area of one of the two right-angled triangles first, then double it.",,,,,,kite_area,mode=legs;leg1=8cm;leg2=5cm
1423,183a,183,2,No,Find the area.,36 cm²,18 cm²,72 cm²,One triangle's area: 0.5×9×4=18cm². Two triangles: 2×18=36cm².,"Find the area of one right-angled triangle first, then double it.",,,,,,kite_area,mode=legs;leg1=9cm;leg2=4cm
1424,183a,183,3,Yes,"Find x, where the length is 2x.",6cm,12cm,3cm,"Total area = 2×(0.5×10×b)=10b. So 10b=60, giving b=6cm.","Write the total area as two right-angled triangles in terms of the unknown leg, then solve.",,,,,,kite_area,mode=legs;leg1=10cm;leg2=x;caption=Area = 60cm²
1428,183b,183,1,No,Find the area.,30 cm²,60 cm²,16 cm²,Area = 0.5×10×6=30cm².,"Multiply the two diagonals together, then halve the result.",,,,,,kite_area,mode=diagonals;d1=10cm;d2=6cm
1429,183b,183,2,No,Find the area.,15 cm²,30 cm²,11.5 cm²,Area = 0.5×7.5×4=15cm².,"Multiply the two diagonals together, then halve the result.",,,,,,kite_area,mode=diagonals;d1=7.5cm;d2=4cm
1430,183b,183,3,Yes,Find the other diagonal.,7cm,3.5cm,84cm,"0.5×12×d=42, so 6d=42, giving d=7cm.","Substitute the known diagonal and area into the kite area formula, then solve for the missing diagonal.",,,,,,kite_area,mode=diagonals;d1=12cm;d2=x;caption=Area = 42cm²
